ex_ID,order_id,sku,location_id,ex_type,severity,time_created,time_resolved,time_resolution,status,role,notes,sla_target_min,within_sla
EXC00018,ORD0289,SKU0372,B10-09,LOCATION_BLOCKED,WARN,3,39,36,CLOSED,floor_lead,Location temporarily inaccessible (congestion/obstruction); reroute or clear.,60,True
EXC00023,ORD0370,SKU0411,C06-06,LOCATION_BLOCKED,WARN,14,96,82,CLOSED,floor_lead,Location temporarily inaccessible (congestion/obstruction); reroute or clear.,60,False
EXC00010,ORD0121,SKU0090,B14-07,ROBOT_DELAY,WARN,28,106,78,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,False
EXC00011,ORD0121,SKU0380,C18-07,ROBOT_DELAY,WARN,28,47,19,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,True
EXC00016,ORD0278,SKU0093,A17-04,ROBOT_DELAY,WARN,28,76,48,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,False
EXC00039,ORD0706,SKU0231,A08-01,ROBOT_DELAY,WARN,28,103,75,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,False
EXC00029,ORD0566,SKU0303,B16-05,ROBOT_DELAY,WARN,33,56,23,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,True
EXC00007,ORD0116,SKU0215,C17-04,ROBOT_DELAY,WARN,34,78,44,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,True
EXC00008,ORD0116,SKU0242,B01-02,ROBOT_DELAY,WARN,34,62,28,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,True
EXC00034,ORD0614,SKU0180,A17-09,ROBOT_DELAY,WARN,35,85,50,CLOSED,ops_supervisor,Order delayed due to elevated robot fault pressure window.,45,False
EXC00025,ORD0388,SKU0553,A11-01,DAMAGED,WARN,56,105,49,CLOSED,qa,Unit damaged; re-pick or replace required.,90,True
EXC00040,ORD0710,SKU0134,C01-09,DAMAGED,WARN,90,103,13,CLOSED,qa,Unit damaged; re-pick or replace required.,90,True
